Date,Open,High,Low,Close,Adj Close,Volume
2005-05-04,"1,937.79","1,963.26","1,935.24","1,962.23","1,962.23","1,877,820,000"
2005-05-03,"1,924.78","1,944.53","1,924.78","1,933.07","1,933.07","1,868,140,000"
2005-05-02,"1,923.23","1,933.42","1,916.03","1,928.65","1,928.65","1,547,750,000"
2005-04-29,"1,917.64","1,921.77","1,889.83","1,921.65","1,921.65","2,039,550,000"
2005-04-28,"1,922.03","1,927.31","1,904.08","1,904.18","1,904.18","1,861,340,000"
2005-04-27,"1,919.42","1,937.15","1,913.14","1,930.43","1,930.43","1,764,210,000"
2005-04-26,"1,943.75","1,958.58","1,927.44","1,927.44","1,927.44","1,670,040,000"
2005-04-25,"1,942.02","1,954.87","1,938.45","1,950.78","1,950.78","1,442,420,000"
2005-04-22,"1,953.58","1,953.77","1,921.38","1,932.19","1,932.19","1,802,730,000"
2005-04-21,"1,931.85","1,962.41","1,928.52","1,962.41","1,962.41","1,951,490,000"
2005-04-20,"1,944.64","1,945.60","1,912.35","1,913.76","1,913.76","2,004,950,000"
2005-04-19,"1,922.82","1,933.21","1,918.15","1,932.36","1,932.36","1,792,830,000"
2005-04-18,"1,906.43","1,921.69","1,904.27","1,912.92","1,912.92","1,840,360,000"
2005-04-15,"1,932.96","1,940.15","1,906.71","1,908.15","1,908.15","2,314,620,000"
2005-04-14,"1,974.18","1,975.42","1,946.58","1,946.71","1,946.71","1,930,060,000"
2005-04-13,"2,000.46","2,001.30","1,972.10","1,974.37","1,974.37","1,705,450,000"
2005-04-12,"1,988.33","2,007.24","1,970.01","2,005.40","2,005.40","1,931,870,000"
2005-04-11,"2,004.16","2,006.24","1,991.21","1,992.12","1,992.12","1,382,490,000"
2005-04-08,"2,018.42","2,021.82","1,999.33","1,999.35","1,999.35","1,516,340,000"
2005-04-07,"1,999.61","2,018.79","1,998.14","2,018.79","2,018.79","1,714,270,000"
2005-04-06,"2,004.25","2,017.08","1,996.91","1,999.14","1,999.14","1,746,400,000"
2005-04-05,"1,994.38","2,002.35","1,991.88","1,999.32","1,999.32","1,647,510,000"
2005-04-04,"1,983.81","1,995.80","1,972.07","1,991.07","1,991.07","1,589,310,000"
2005-04-01,"2,009.09","2,014.73","1,982.19","1,984.81","1,984.81","1,869,690,000"
2005-03-31,"2,005.71","2,006.62","1,994.80","1,999.23","1,999.23","1,686,970,000"
