Date,Open,High,Low,Close,Adj Close,Volume
2020-06-03,0.5900,0.62,0.55,0.57,0.57,"2,415,600"
2020-06-02,0.5600,0.56,0.54,0.56,0.56,"1,495,700"
2020-06-01,0.5200,0.56,0.51,0.53,0.53,"1,854,600"
2020-05-29,0.5100,0.53,0.49,0.51,0.51,"2,012,600"
2020-05-28,0.5700,0.58,0.52,0.52,0.52,"2,255,100"
2020-05-27,0.4800,0.55,0.45,0.55,0.55,"5,231,200"
2020-05-26,0.4900,0.49,0.47,0.48,0.48,"1,295,000"
2020-05-22,0.4600,0.48,0.46,0.47,0.47,"1,092,600"
2020-05-21,0.4800,0.48,0.46,0.46,0.46,"712,700"
2020-05-20,0.4600,0.48,0.45,0.47,0.47,"1,639,100"
2020-05-19,0.4500,0.46,0.45,0.46,0.46,"1,139,300"
2020-05-18,0.4600,0.47,0.44,0.47,0.47,"2,111,600"
2020-05-15,0.4600,0.46,0.44,0.45,0.45,"1,640,700"
2020-05-14,0.4500,0.46,0.43,0.45,0.45,"2,065,400"
2020-05-13,0.4600,0.47,0.45,0.45,0.45,"1,553,300"
2020-05-12,0.4900,0.49,0.45,0.45,0.45,"1,801,600"
2020-05-11,0.4700,0.48,0.46,0.46,0.46,"1,844,200"
2020-05-08,0.4600,0.48,0.45,0.46,0.46,"1,458,700"
2020-05-07,0.4600,0.47,0.44,0.46,0.46,"1,509,800"
2020-05-06,0.4900,0.49,0.45,0.46,0.46,"726,500"
2020-05-05,0.4600,0.47,0.45,0.46,0.46,"938,600"
2020-05-04,0.4700,0.47,0.45,0.46,0.46,"1,026,600"
2020-05-01,0.4800,0.5,0.45,0.46,0.46,"1,191,300"
2020-04-30,0.5200,0.52,0.47,0.48,0.48,"1,528,700"
2020-04-29,0.4900,0.51,0.47,0.5,0.5,"1,869,300"
2020-04-28,0.4600,0.48,0.44,0.48,0.48,"1,067,900"
2020-04-27,0.4500,0.46,0.44,0.46,0.46,"1,125,700"
2020-04-24,0.4400,0.45,0.42,0.44,0.44,"818,700"
2020-04-23,0.4300,0.44,0.42,0.42,0.42,"658,700"
2020-04-22,0.4300,0.44,0.42,0.43,0.43,"672,700"
2020-04-21,0.4200,0.44,0.41,0.42,0.42,"839,700"
2020-04-20,0.4500,0.46,0.42,0.43,0.43,"935,100"
2020-04-17,0.4500,0.46,0.43,0.46,0.46,"1,040,800"
2020-04-16,0.4600,0.46,0.42,0.44,0.44,"1,826,600"
2020-04-15,0.4700,0.48,0.45,0.45,0.45,"986,900"
2020-04-14,0.4600,0.49,0.45,0.49,0.49,"1,063,200"
2020-04-13,0.4600,0.47,0.43,0.46,0.46,"1,064,200"
2020-04-09,0.4200,0.45,0.42,0.45,0.45,"1,474,300"
2020-04-08,0.4200,0.45,0.41,0.42,0.42,"1,482,900"
2020-04-07,0.4600,0.46,0.41,0.41,0.41,"913,400"
2020-04-06,0.4200,0.44,0.41,0.44,0.44,"1,112,500"
2020-04-03,0.4300,0.43,0.39,0.42,0.42,"772,400"
2020-04-02,0.4200,0.42,0.39,0.42,0.42,"1,268,100"
2020-04-01,0.4000,0.43,0.4,0.41,0.41,"1,281,600"
2020-03-31,0.4400,0.45,0.41,0.42,0.42,"1,363,900"
2020-03-30,0.4400,0.46,0.42,0.46,0.46,"826,500"
2020-03-27,0.4700,0.47,0.43,0.43,0.43,"922,900"
2020-03-26,0.4400,0.47,0.42,0.47,0.47,"1,226,500"
2020-03-25,0.4800,0.48,0.41,0.44,0.44,"1,675,100"
2020-03-24,0.4000,0.44,0.39,0.44,0.44,"1,208,600"
2020-03-23,0.4000,0.41,0.38,0.39,0.39,"1,475,400"
2020-03-20,0.4000,0.43,0.39,0.4,0.4,"1,671,700"
2020-03-19,0.3600,0.4,0.36,0.4,0.4,"1,625,000"
2020-03-18,0.4000,0.4,0.36,0.36,0.36,"2,311,000"
2020-03-17,0.4100,0.43,0.4,0.41,0.41,"1,705,300"
2020-03-16,0.4200,0.45,0.4,0.42,0.42,"2,419,800"
2020-03-13,0.4500,0.49,0.42,0.46,0.46,"1,689,300"
2020-03-12,0.4500,0.48,0.43,0.43,0.43,"3,035,900"
2020-03-11,0.5100,0.52,0.49,0.51,0.51,"1,461,300"
